,Archivo,Palabra
0,27121-8.txt,biblioteca
1,27121-8.txt,nacion
2,27121-8.txt,juan
3,27121-8.txt,brete
4,27121-8.txt,tio
5,27121-8.txt,cura
6,27121-8.txt,obra
7,27121-8.txt,premiada
8,27121-8.txt,academia
9,27121-8.txt,francesa
10,27121-8.txt,illustration
11,27121-8.txt,buenos
12,27121-8.txt,aires
13,27121-8.txt,proemio
14,27121-8.txt,costumbres
15,27121-8.txt,usos
16,27121-8.txt,tiempos
17,27121-8.txt,convertido
18,27121-8.txt,novela
19,27121-8.txt,antano
20,27121-8.txt,mero
21,27121-8.txt,pasatiempo
22,27121-8.txt,solaz
23,27121-8.txt,necesidad
24,27121-8.txt,mundo
25,27121-8.txt,lee
26,27121-8.txt,quiere
27,27121-8.txt,leer
28,27121-8.txt,llene
29,27121-8.txt,vacios
30,27121-8.txt,ocios
31,27121-8.txt,domesticos
32,27121-8.txt,treguas
33,27121-8.txt,trabajo
34,27121-8.txt,todas
35,27121-8.txt,novelas
36,27121-8.txt,aceptables
37,27121-8.txt,novela
38,27121-8.txt,humano
39,27121-8.txt,bipolar
40,27121-8.txt,consiguientemente
41,27121-8.txt,bien
42,27121-8.txt,mal
43,27121-8.txt,susceptible
44,27121-8.txt,si
45,27121-8.txt,novela
46,27121-8.txt,buena
47,27121-8.txt,beneficio
48,27121-8.txt,mala
49,27121-8.txt,perniciosa
50,27121-8.txt,mas
51,27121-8.txt,dano
52,27121-8.txt,libreria
53,27121-8.txt,nacional
54,27121-8.txt,carece
55,27121-8.txt,general
56,27121-8.txt,libros
57,27121-8.txt,bien
58,27121-8.txt,escritos
59,27121-8.txt,interesantes
60,27121-8.txt,puedan
61,27121-8.txt,ir
62,27121-8.txt,manos
63,27121-8.txt,mundo
64,27121-8.txt,casas
65,27121-8.txt,editoriales
66,27121-8.txt,espanolas
67,27121-8.txt,ocupan
68,27121-8.txt,traducir
69,27121-8.txt,mas
70,27121-8.txt,novelas
71,27121-8.txt,escandalo
72,27121-8.txt,vulgo
73,27121-8.txt,sensacion
74,27121-8.txt,grado
75,27121-8.txt,incapacidad
76,27121-8.txt,moral
77,27121-8.txt,llegado
78,27121-8.txt,si
79,27121-8.txt,alguien
80,27121-8.txt,ocurre
81,27121-8.txt,publicar
82,27121-8.txt,alguna
83,27121-8.txt,obra
84,27121-8.txt,inofensiva
85,27121-8.txt,suele
86,27121-8.txt,ser
87,27121-8.txt,elegida
88,27121-8.txt,tan
89,27121-8.txt,mal
90,27121-8.txt,tino
91,27121-8.txt,mas
92,27121-8.txt,veces
93,27121-8.txt,insulsa
94,27121-8.txt,anodina
95,27121-8.txt,falta
96,27121-8.txt,interes
97,27121-8.txt,coopera
98,27121-8.txt,falso
99,27121-8.txt,descredito
100,27121-8.txt,obras
101,27121-8.txt,buenas
102,27121-8.txt,si
103,27121-8.txt,naturalismo
104,27121-8.txt,mercantilismo
105,27121-8.txt,modernos
106,27121-8.txt,hallado
107,27121-8.txt,modo
108,27121-8.txt,fabricar
109,27121-8.txt,fango
110,27121-8.txt,vicio
111,27121-8.txt,munecos
112,27121-8.txt,vidriados
113,27121-8.txt,barniz
114,27121-8.txt,pseudociencia
115,27121-8.txt,dorados
116,27121-8.txt,fuego
117,27121-8.txt,pasion
118,27121-8.txt,llegan
119,27121-8.txt,encantar
120,27121-8.txt,grupo
121,27121-8.txt,lectores
122,27121-8.txt,desesperen
123,27121-8.txt,aun
124,27121-8.txt,suenan
125,27121-8.txt,vida
126,27121-8.txt,arte
