,Archivo,Palabra
0,30052-8.txt,museo
1,30052-8.txt,plata
2,30052-8.txt,esploracion
3,30052-8.txt,arqueologica
4,30052-8.txt,provincia
5,30052-8.txt,catamarca
6,30052-8.txt,primeros
7,30052-8.txt,datos
8,30052-8.txt,importancia
9,30052-8.txt,resultados
10,30052-8.txt,f
11,30052-8.txt,p
12,30052-8.txt,moreno
13,30052-8.txt,director
14,30052-8.txt,museo
15,30052-8.txt,estracto
16,30052-8.txt,informe
17,30052-8.txt,anual
18,30052-8.txt,correspondiente
19,30052-8.txt,ilustracion
20,30052-8.txt,revista
21,30052-8.txt,museo
22,30052-8.txt,platatomo
23,30052-8.txt,paginas
24,30052-8.txt,siguientes
25,30052-8.txt,museo
26,30052-8.txt,plata
27,30052-8.txt,esploracion
28,30052-8.txt,arqueologica
29,30052-8.txt,provincia
30,30052-8.txt,catamarca
31,30052-8.txt,primeros
32,30052-8.txt,datos
33,30052-8.txt,importancia
34,30052-8.txt,resultados
35,30052-8.txt,f
36,30052-8.txt,p
37,30052-8.txt,moreno
38,30052-8.txt,director
39,30052-8.txt,museo
40,30052-8.txt,estracto
41,30052-8.txt,informe
42,30052-8.txt,anual
43,30052-8.txt,correspondiente
44,30052-8.txt,podido
45,30052-8.txt,continuar
46,30052-8.txt,dificultades
47,30052-8.txt,economicas
48,30052-8.txt,atraviesa
49,30052-8.txt,republica
50,30052-8.txt,esploracion
51,30052-8.txt,arqueologica
52,30052-8.txt,provincia
53,30052-8.txt,catamarca
54,30052-8.txt,practicaba
55,30052-8.txt,cuenta
56,30052-8.txt,museo
57,30052-8.txt,naturalista
58,30052-8.txt,viajero
59,30052-8.txt,don
60,30052-8.txt,adolfo
61,30052-8.txt,methfessel
62,30052-8.txt,establecimiento
63,30052-8.txt,continua
64,30052-8.txt,recibiendo
65,30052-8.txt,objetos
66,30052-8.txt,reunidos
67,30052-8.txt,escursiones
68,30052-8.txt,anteriores
69,30052-8.txt,manera
70,30052-8.txt,practica
71,30052-8.txt,museo
72,30052-8.txt,examen
73,30052-8.txt,escrupuloso
74,30052-8.txt,destruidas
75,30052-8.txt,moradas
76,30052-8.txt,sepulcros
77,30052-8.txt,antiguos
78,30052-8.txt,habitantes
79,30052-8.txt,valles
80,30052-8.txt,calchaquies
81,30052-8.txt,asegura
82,30052-8.txt,deducciones
83,30052-8.txt,exactas
84,30052-8.txt,posible
85,30052-8.txt,obtener
86,30052-8.txt,confusion
87,30052-8.txt,resultaba
88,30052-8.txt,dudosa
89,30052-8.txt,ubicacion
90,30052-8.txt,casi
91,30052-8.txt,hallazgos
92,30052-8.txt,anteriores
93,30052-8.txt,hechos
94,30052-8.txt,general
95,30052-8.txt,personas
96,30052-8.txt,competentes
97,30052-8.txt,interesadas
98,30052-8.txt,venta
99,30052-8.txt,alterado
100,30052-8.txt,muchas
101,30052-8.txt,veces
102,30052-8.txt,verdad
103,30052-8.txt,descubrimientos
104,30052-8.txt,mezclando
105,30052-8.txt,objetos
106,30052-8.txt,distintos
107,30052-8.txt,yacimientos
108,30052-8.txt,obtener
109,30052-8.txt,mayor
110,30052-8.txt,precio
111,30052-8.txt,alteracion
112,30052-8.txt,perjudicial
113,30052-8.txt,si
114,30052-8.txt,cuenta
115,30052-8.txt,importancia
116,30052-8.txt,capital
117,30052-8.txt,antiguedades
118,30052-8.txt,provincias
119,30052-8.txt,andinas
120,30052-8.txt,completo
121,30052-8.txt,conocimiento
122,30052-8.txt,historia
123,30052-8.txt,hombre
124,30052-8.txt,americano
125,30052-8.txt,precolombiano
126,30052-8.txt,seria
127,30052-8.txt,aventurada
128,30052-8.txt,publicacion
129,30052-8.txt,inmediata
130,30052-8.txt,conclusiones
131,30052-8.txt,primera
132,30052-8.txt,vista
133,30052-8.txt,desprenden
134,30052-8.txt,examen
135,30052-8.txt,superficial
136,30052-8.txt,grande
137,30052-8.txt,material
138,30052-8.txt,estudio
139,30052-8.txt,historia
140,30052-8.txt,contienen
141,30052-8.txt,colecciones
142,30052-8.txt,establecimiento
143,30052-8.txt,valiosas
144,30052-8.txt,piezas
145,30052-8.txt,reunidas
146,30052-8.txt,senor
147,30052-8.txt,methfessel
148,30052-8.txt,pasado
149,30052-8.txt,humano
150,30052-8.txt,territorios
151,30052-8.txt,liga
152,30052-8.txt,seguramente
153,30052-8.txt,regiones
154,30052-8.txt,americanas
155,30052-8.txt,reunido
156,30052-8.txt,ahora
157,30052-8.txt,basta
158,30052-8.txt,deslindar
159,30052-8.txt,relaciones
160,30052-8.txt,conocer
161,30052-8.txt,origen
162,30052-8.txt,todas
163,30052-8.txt,congeturas
164,30052-8.txt,respecto
165,30052-8.txt,susceptibles
166,30052-8.txt,grandes
167,30052-8.txt,modificaciones
168,30052-8.txt,indican
169,30052-8.txt,nuevos
170,30052-8.txt,descubrimientos
171,30052-8.txt,aun
172,30052-8.txt,ultimos
173,30052-8.txt,cincuenta
174,30052-8.txt,anos
175,30052-8.txt,agregado
176,30052-8.txt,nuevos
177,30052-8.txt,elementos
178,30052-8.txt,investigacion
179,30052-8.txt,pasado
180,30052-8.txt,encontramos
181,30052-8.txt,obras
182,30052-8.txt,mas
183,30052-8.txt,menos
184,30052-8.txt,veridicas
185,30052-8.txt,mas
186,30052-8.txt,menos
187,30052-8.txt,ingenuas
188,30052-8.txt,interesadas
189,30052-8.txt,tiempo
