,Archivo,Palabra
0,28212-8.txt,vi
1,28212-8.txt,biblioteca
2,28212-8.txt,moderna
3,28212-8.txt,jacinto
4,28212-8.txt,picon
5,28212-8.txt,vistosa
6,28212-8.txt,ilustraciones
7,28212-8.txt,l
8,28212-8.txt,valera
9,28212-8.txt,madrid
10,28212-8.txt,administrador
11,28212-8.txt,m
12,28212-8.txt,poveda
13,28212-8.txt,calle
14,28212-8.txt,manuel
15,28212-8.txt,fernandez
16,28212-8.txt,gonzalez
17,28212-8.txt,num
18,28212-8.txt,vistosa
19,28212-8.txt,coronas
20,28212-8.txt,divorcio
21,28212-8.txt,moral
22,28212-8.txt,vistosa
23,28212-8.txt,conoci
24,28212-8.txt,enriqueta
25,28212-8.txt,mal
26,28212-8.txt,nombre
27,28212-8.txt,vistosa
28,28212-8.txt,relaciones
29,28212-8.txt,amigo
30,28212-8.txt,perico
31,28212-8.txt,hombre
32,28212-8.txt,tan
33,28212-8.txt,celoso
34,28212-8.txt,antojaban
35,28212-8.txt,dedos
36,28212-8.txt,huespedes
37,28212-8.txt,unido
38,28212-8.txt,ser
39,28212-8.txt,muchacha
40,28212-8.txt,demasiado
41,28212-8.txt,comunicativa
42,28212-8.txt,hizo
43,28212-8.txt,tratarla
44,28212-8.txt,exquisita
45,28212-8.txt,precaucion
46,28212-8.txt,deseoso
47,28212-8.txt,ningun
48,28212-8.txt,pretexto
49,28212-8.txt,pudiese
50,28212-8.txt,acusar
51,28212-8.txt,delito
52,28212-8.txt,incapaz
53,28212-8.txt,cometer
54,28212-8.txt,negocios
55,28212-8.txt,estabamos
56,28212-8.txt,asociados
57,28212-8.txt,hacian
58,28212-8.txt,necesario
59,28212-8.txt,perico
60,28212-8.txt,viesemos
61,28212-8.txt,menudo
62,28212-8.txt,dias
63,28212-8.txt,iba
64,28212-8.txt,comer
65,28212-8.txt,decir
66,28212-8.txt,pues
67,28212-8.txt,vivia
68,28212-8.txt,maritalmente
69,28212-8.txt,compania
70,28212-8.txt,enriqueta
71,28212-8.txt,pocas
72,28212-8.txt,mujeres
73,28212-8.txt,tan
74,28212-8.txt,agradables
75,28212-8.txt,conocido
76,28212-8.txt,tan
77,28212-8.txt,listas
78,28212-8.txt,pronto
79,28212-8.txt,dio
80,28212-8.txt,cuenta
81,28212-8.txt,extremada
82,28212-8.txt,prudencia
83,28212-8.txt,dirigia
84,28212-8.txt,palabra
85,28212-8.txt,empeno
86,28212-8.txt,esquivar
87,28212-8.txt,exceso
88,28212-8.txt,confianza
89,28212-8.txt,exquisito
90,28212-8.txt,cuidado
91,28212-8.txt,ponia
92,28212-8.txt,nunca
93,28212-8.txt,quedasemos
94,28212-8.txt,solos
95,28212-8.txt,mortificada
96,28212-8.txt,duda
97,28212-8.txt,suponer
98,28212-8.txt,excesiva
99,28212-8.txt,cautela
100,28212-8.txt,habia
101,28212-8.txt,fondo
102,28212-8.txt,mal
103,28212-8.txt,disimulado
104,28212-8.txt,desprecio
105,28212-8.txt,procuro
106,28212-8.txt,desvanecer
107,28212-8.txt,prevencion
108,28212-8.txt,pudiera
109,28212-8.txt,animado
110,28212-8.txt,ilustracion
111,28212-8.txt,noche
112,28212-8.txt,crei
113,28212-8.txt,encontrarles
114,28212-8.txt,ambos
115,28212-8.txt,halle
116,28212-8.txt,sola
117,28212-8.txt,despues
118,28212-8.txt,sentado
119,28212-8.txt,gabinete
120,28212-8.txt,dijo
121,28212-8.txt,perico
122,28212-8.txt,habia
123,28212-8.txt,salido
124,28212-8.txt,quise
125,28212-8.txt,marcharme
126,28212-8.txt,anadio
127,28212-8.txt,seria
128,28212-8.txt,burlona
129,28212-8.txt,quia
130,28212-8.txt,amiguito
131,28212-8.txt,hablar
132,28212-8.txt,aunque
133,28212-8.txt,turco
134,28212-8.txt,vd
135,28212-8.txt,caballero
136,28212-8.txt,explica
137,28212-8.txt,vd
138,28212-8.txt,hable
139,28212-8.txt,siempre
140,28212-8.txt,indiferencia
141,28212-8.txt,sequedad
142,28212-8.txt,consta
143,28212-8.txt,vd
144,28212-8.txt,hipocrita
145,28212-8.txt,intolerante
146,28212-8.txt,sino
