,Archivo,Palabra
0,23239-8.txt,emilio
1,23239-8.txt,carrere
2,23239-8.txt,copa
3,23239-8.txt,verlaine
4,23239-8.txt,madrid
5,23239-8.txt,jesus
6,23239-8.txt,heras
7,23239-8.txt,gran
8,23239-8.txt,amigo
9,23239-8.txt,gran
10,23239-8.txt,simpatico
11,23239-8.txt,vencedor
12,23239-8.txt,azar
13,23239-8.txt,autor
14,23239-8.txt,indice
15,23239-8.txt,copa
16,23239-8.txt,verlaine
17,23239-8.txt,madrid
18,23239-8.txt,come
19,23239-8.txt,mal
20,23239-8.txt,viejo
21,23239-8.txt,poeta
22,23239-8.txt,nerval
23,23239-8.txt,habitos
24,23239-8.txt,extravagancias
25,23239-8.txt,escritores
26,23239-8.txt,argonautas
27,23239-8.txt,vellocino
28,23239-8.txt,cobre
29,23239-8.txt,ultima
30,23239-8.txt,copa
31,23239-8.txt,edgard
32,23239-8.txt,poe
33,23239-8.txt,poetas
34,23239-8.txt,borrachos
35,23239-8.txt,duelo
36,23239-8.txt,romantico
37,23239-8.txt,manos
38,23239-8.txt,elena
39,23239-8.txt,siles
40,23239-8.txt,carrik
41,23239-8.txt,glosario
42,23239-8.txt,pintoresco
43,23239-8.txt,elegia
44,23239-8.txt,hombre
45,23239-8.txt,inverosimil
46,23239-8.txt,amigo
47,23239-8.txt,alquimista
48,23239-8.txt,galan
49,23239-8.txt,ouistitis
50,23239-8.txt,sindulfo
51,23239-8.txt,arqueologo
52,23239-8.txt,cazador
53,23239-8.txt,alimanas
54,23239-8.txt,poema
55,23239-8.txt,mal
56,23239-8.txt,poeta
57,23239-8.txt,sombra
58,23239-8.txt,rey
59,23239-8.txt,galan
60,23239-8.txt,plazoleta
61,23239-8.txt,fracasados
62,23239-8.txt,paellas
63,23239-8.txt,revolucionario
64,23239-8.txt,noche
65,23239-8.txt,viejo
66,23239-8.txt,cafe
67,23239-8.txt,galante
68,23239-8.txt,perfil
69,23239-8.txt,tragicomedia
70,23239-8.txt,santalo
71,23239-8.txt,capa
72,23239-8.txt,bohemia
73,23239-8.txt,capa
74,23239-8.txt,mendigo
75,23239-8.txt,copa
76,23239-8.txt,verlaine
77,23239-8.txt,pablo
78,23239-8.txt,verlaine
79,23239-8.txt,tenia
80,23239-8.txt,sed
81,23239-8.txt,fatal
82,23239-8.txt,sed
83,23239-8.txt,monstruosa
84,23239-8.txt,suicida
85,23239-8.txt,bebio
86,23239-8.txt,muerte
87,23239-8.txt,tal
88,23239-8.txt,vez
89,23239-8.txt,oia
90,23239-8.txt,voz
91,23239-8.txt,sirena
92,23239-8.txt,fabulosa
93,23239-8.txt,fondo
94,23239-8.txt,glauco
95,23239-8.txt,ajenjo
96,23239-8.txt,ruisenor
97,23239-8.txt,protervo
98,23239-8.txt,iba
99,23239-8.txt,cafe
100,23239-8.txt,dharcourt
101,23239-8.txt,bebia
102,23239-8.txt,bebia
103,23239-8.txt,cuartillas
104,23239-8.txt,aguardaban
105,23239-8.txt,carpeta
106,23239-8.txt,junto
107,23239-8.txt,tintero
108,23239-8.txt,feo
109,23239-8.txt,mezquino
110,23239-8.txt,fosforero
111,23239-8.txt,cafe
112,23239-8.txt,rincon
113,23239-8.txt,suave
114,23239-8.txt,remanso
115,23239-8.txt,melancolico
116,23239-8.txt,triunfo
117,23239-8.txt,luz
118,23239-8.txt,sonidos
119,23239-8.txt,loco
120,23239-8.txt,paris
121,23239-8.txt,veces
122,23239-8.txt,horrido
123,23239-8.txt,tintero
124,23239-8.txt,pluma
125,23239-8.txt,oxidada
126,23239-8.txt,manoseaba
127,23239-8.txt,vulgo
128,23239-8.txt,mas
129,23239-8.txt,garrulo
130,23239-8.txt,verlaine
131,23239-8.txt,escribia
132,23239-8.txt,poema
133,23239-8.txt,maravilla
134,23239-8.txt,pocas
135,23239-8.txt,veces
136,23239-8.txt,podia
137,23239-8.txt,pagar
138,23239-8.txt,ajenjos
139,23239-8.txt,llegaban
140,23239-8.txt,admiradores
141,23239-8.txt,amigos
142,23239-8.txt,poeta
143,23239-8.txt,tristemente
144,23239-8.txt,borracho
145,23239-8.txt,pedia
146,23239-8.txt,dinero
147,23239-8.txt,despues
148,23239-8.txt,alta
149,23239-8.txt,noche
150,23239-8.txt,tabernas
151,23239-8.txt,apaches
152,23239-8.txt,meretrices
153,23239-8.txt,hora
154,23239-8.txt,fatiga
155,23239-8.txt,amor
156,23239-8.txt,callejero
157,23239-8.txt,verlaine
158,23239-8.txt,arrojaba
159,23239-8.txt,luises
160,23239-8.txt,habia
161,23239-8.txt,demandado
162,23239-8.txt,lluvia
163,23239-8.txt,oro
164,23239-8.txt,dolorida
165,23239-8.txt,canalla
166,23239-8.txt,asi
167,23239-8.txt,versos
168,23239-8.txt,lluvia
169,23239-8.txt,estrellas
170,23239-8.txt,vulgos
171,23239-8.txt,aullaban
172,23239-8.txt,ofendian
173,23239-8.txt,verle
174,23239-8.txt,pasar
175,23239-8.txt,borracho
176,23239-8.txt,lado
177,23239-8.txt,barrio
178,23239-8.txt,tenia
179,23239-8.txt,popularidad
180,23239-8.txt,grotesca
181,23239-8.txt,viejo
182,23239-8.txt,loco
183,23239-8.txt,beodo
184,23239-8.txt,mal
185,23239-8.txt,vestido
186,23239-8.txt,arrojaba
187,23239-8.txt,dinero
188,23239-8.txt,chiquilleria
189,23239-8.txt,hacia
190,23239-8.txt,befa
191,23239-8.txt,extrana
192,23239-8.txt,liberalidad
193,23239-8.txt,tiraba
194,23239-8.txt,piedras
