,Archivo,Palabra
0,27034-8.txt,produced
1,27034-8.txt,by
2,27034-8.txt,haines
3,27034-8.txt,entrevistas
4,27034-8.txt,marie
5,27034-8.txt,lebert
6,27034-8.txt,nef
7,27034-8.txt,university
8,27034-8.txt,of
9,27034-8.txt,toronto
10,27034-8.txt,copyright
11,27034-8.txt,c
12,27034-8.txt,marie
13,27034-8.txt,lebert
14,27034-8.txt,actividad
15,27034-8.txt,red
16,27034-8.txt,piensan
17,27034-8.txt,internet
18,27034-8.txt,derechos
19,27034-8.txt,autor
20,27034-8.txt,multilinguismo
21,27034-8.txt,sociedad
22,27034-8.txt,informacion
23,27034-8.txt,etc
24,27034-8.txt,entrevistas
25,27034-8.txt,escritores
26,27034-8.txt,periodistas
27,27034-8.txt,editores
28,27034-8.txt,libreros
29,27034-8.txt,bibliotecarios
30,27034-8.txt,documentalistas
31,27034-8.txt,profesores
32,27034-8.txt,investigatores
33,27034-8.txt,linguistas
34,27034-8.txt,etc
35,27034-8.txt,fr
36,27034-8.txt,entretiens
37,27034-8.txt,interviews
38,27034-8.txt,nef
39,27034-8.txt,httpwwwetudesfrancaisesnetentretiensindexhtm
40,27034-8.txt,indice
41,27034-8.txt,entrevistas
42,27034-8.txt,traducidas
43,27034-8.txt,marie
44,27034-8.txt,lebert
45,27034-8.txt,maria
46,27034-8.txt,victoria
47,27034-8.txt,marinetti
48,27034-8.txt,guy
49,27034-8.txt,antoine
50,27034-8.txt,nueva
51,27034-8.txt,jersey
52,27034-8.txt,creador
53,27034-8.txt,windows
54,27034-8.txt,on
55,27034-8.txt,haiti
56,27034-8.txt,fuente
57,27034-8.txt,informacion
58,27034-8.txt,cultura
59,27034-8.txt,haitiana
60,27034-8.txt,alain
61,27034-8.txt,bron
62,27034-8.txt,paris
63,27034-8.txt,consultor
64,27034-8.txt,sistemas
65,27034-8.txt,informacion
66,27034-8.txt,escritor
67,27034-8.txt,internet
68,27034-8.txt,personajes
69,27034-8.txt,novela
70,27034-8.txt,sanguine
71,27034-8.txt,sur
72,27034-8.txt,toile
73,27034-8.txt,sanguinea
74,27034-8.txt,red
75,27034-8.txt,jeanpierre
76,27034-8.txt,cloutier
77,27034-8.txt,montreal
78,27034-8.txt,autor
79,27034-8.txt,chroniques
80,27034-8.txt,cyberie
81,27034-8.txt,cronica
82,27034-8.txt,semanal
83,27034-8.txt,noticias
84,27034-8.txt,internet
85,27034-8.txt,bruno
86,27034-8.txt,didier
87,27034-8.txt,paris
88,27034-8.txt,webmaster
89,27034-8.txt,biblioteca
90,27034-8.txt,instituto
91,27034-8.txt,pasteur
92,27034-8.txt,catherine
93,27034-8.txt,domain
94,27034-8.txt,paris
95,27034-8.txt,creadora
96,27034-8.txt,libreria
97,27034-8.txt,ulysse
98,27034-8.txt,mas
99,27034-8.txt,antigua
100,27034-8.txt,libreria
101,27034-8.txt,viaje
102,27034-8.txt,mundo
103,27034-8.txt,michael
104,27034-8.txt,hart
105,27034-8.txt,illinois
106,27034-8.txt,fundador
107,27034-8.txt,proyecto
108,27034-8.txt,gutenberg
109,27034-8.txt,ciberbiblioteca
110,27034-8.txt,mas
111,27034-8.txt,antigua
112,27034-8.txt,internet
113,27034-8.txt,roberto
114,27034-8.txt,hernandez
115,27034-8.txt,montoya
116,27034-8.txt,caracas
117,27034-8.txt,director
118,27034-8.txt,bitbiblioteca
119,27034-8.txt,biblioteca
120,27034-8.txt,digital
121,27034-8.txt,revista
122,27034-8.txt,electronica
123,27034-8.txt,venezuela
124,27034-8.txt,analitica
125,27034-8.txt,maria
126,27034-8.txt,victoria
127,27034-8.txt,marinetti
128,27034-8.txt,annecy
129,27034-8.txt,francia
130,27034-8.txt,profesora
131,27034-8.txt,espanol
132,27034-8.txt,empresas
133,27034-8.txt,traductora
134,27034-8.txt,john
135,27034-8.txt,mark
136,27034-8.txt,ockerbloom
137,27034-8.txt,pennsylvania
138,27034-8.txt,fundador
139,27034-8.txt,the
140,27034-8.txt,online
141,27034-8.txt,books
142,27034-8.txt,page
143,27034-8.txt,repertorio
144,27034-8.txt,libros
145,27034-8.txt,linea
146,27034-8.txt,disponibles
147,27034-8.txt,gratuitamente
148,27034-8.txt,jacques
149,27034-8.txt,pataillot
150,27034-8.txt,paris
151,27034-8.txt,consultor
152,27034-8.txt,management
153,27034-8.txt,firma
154,27034-8.txt,cap
155,27034-8.txt,gemini
156,27034-8.txt,ernst
157,27034-8.txt,young
158,27034-8.txt,peter
159,27034-8.txt,raggett
160,27034-8.txt,paris
161,27034-8.txt,director
162,27034-8.txt,centro
163,27034-8.txt,documentacion
164,27034-8.txt,informacion
165,27034-8.txt,cdi
166,27034-8.txt,organizacion
167,27034-8.txt,cooperacion
168,27034-8.txt,desarrollo
169,27034-8.txt,economicos
170,27034-8.txt,ocde
171,27034-8.txt,francois
172,27034-8.txt,vadrot
173,27034-8.txt,paris
174,27034-8.txt,creador
175,27034-8.txt,presidente
176,27034-8.txt,director
177,27034-8.txt,general
178,27034-8.txt,ftpress
179,27034-8.txt,french
180,27034-8.txt,touch
181,27034-8.txt,press
182,27034-8.txt,firma
183,27034-8.txt,ciberprensa
184,27034-8.txt,guy
185,27034-8.txt,antoine
186,27034-8.txt,nueva
187,27034-8.txt,jersey
188,27034-8.txt,creador
189,27034-8.txt,windows
190,27034-8.txt,on
191,27034-8.txt,haiti
192,27034-8.txt,fuente
193,27034-8.txt,informacion
194,27034-8.txt,cultura
195,27034-8.txt,haitiana
196,27034-8.txt,entrevista
197,27034-8.txt,noviembre
198,27034-8.txt,entrevista
199,27034-8.txt,original
200,27034-8.txt,ingles
201,27034-8.txt,podria
202,27034-8.txt,ud
203,27034-8.txt,presentar
204,27034-8.txt,windows
205,27034-8.txt,on
206,27034-8.txt,haiti
207,27034-8.txt,fines
208,27034-8.txt,abril
209,27034-8.txt,cree
210,27034-8.txt,sitio
211,27034-8.txt,internet
212,27034-8.txt,concepto
213,27034-8.txt,simple
214,27034-8.txt,objetivo
215,27034-8.txt,ambicioso
216,27034-8.txt,parte
217,27034-8.txt,ser
218,27034-8.txt,fuente
219,27034-8.txt,informacion
220,27034-8.txt,mayor
221,27034-8.txt,cultura
222,27034-8.txt,haitiana
223,27034-8.txt,oponerse
224,27034-8.txt,imagenes
225,27034-8.txt,continualmente
226,27034-8.txt,negativas
227,27034-8.txt,medias
228,27034-8.txt,tradicionales
229,27034-8.txt,dan
230,27034-8.txt,haiti
231,27034-8.txt,deseo
232,27034-8.txt,tambien
233,27034-8.txt,insistir
234,27034-8.txt,diversidad
235,27034-8.txt,cultura
236,27034-8.txt,haitiana
237,27034-8.txt,temas
238,27034-8.txt,tales
239,27034-8.txt,arte
240,27034-8.txt,historia
241,27034-8.txt,cocina
242,27034-8.txt,musica
243,27034-8.txt,literatura
244,27034-8.txt,memorias
245,27034-8.txt,vida
246,27034-8.txt,tradicional
247,27034-8.txt,sitio
248,27034-8.txt,libro
249,27034-8.txt,oro
250,27034-8.txt,reagrupando
251,27034-8.txt,testimonios
252,27034-8.txt,personales
253,27034-8.txt,visitantes
254,27034-8.txt,lazos
255,27034-8.txt,haiti
256,27034-8.txt,resumen
257,27034-8.txt,abre
258,27034-8.txt,nuevas
259,27034-8.txt,ventanas
260,27034-8.txt,cultura
261,27034-8.txt,haiti
262,27034-8.txt,podria
263,27034-8.txt,ud
264,27034-8.txt,presentar
265,27034-8.txt,actividad
266,27034-8.txt,hace
267,27034-8.txt,veinte
268,27034-8.txt,anos
269,27034-8.txt,actividad
270,27034-8.txt,profesional
271,27034-8.txt,refiere
272,27034-8.txt,informatica
273,27034-8.txt,concepcion
274,27034-8.txt,sistemas
275,27034-8.txt,programacion
276,27034-8.txt,gestion
277,27034-8.txt,redes
278,27034-8.txt,localizacion
279,27034-8.txt,averias
280,27034-8.txt,ensamblaje
281,27034-8.txt,pc
282,27034-8.txt,concepcion
283,27034-8.txt,sitios
284,27034-8.txt,web
285,27034-8.txt,ademas
286,27034-8.txt,sitio
287,27034-8.txt,web
288,27034-8.txt,cree
289,27034-8.txt,convirtio
290,27034-8.txt,noche
291,27034-8.txt,manana
292,27034-8.txt,lugar
293,27034-8.txt,reunion
294,27034-8.txt,varios
295,27034-8.txt,grupos
296,27034-8.txt,individuos
297,27034-8.txt,interesados
298,27034-8.txt,cultura
299,27034-8.txt,haitiana
300,27034-8.txt,propulsado
301,27034-8.txt,tareas
302,27034-8.txt,casiprofesionales
303,27034-8.txt,consisten
304,27034-8.txt,reagrupar
305,27034-8.txt,informaciones
306,27034-8.txt,escribir
307,27034-8.txt,comentarios
308,27034-8.txt,redactar
309,27034-8.txt,textos
310,27034-8.txt,difundir
311,27034-8.txt,cultura
312,27034-8.txt,haitiana
313,27034-8.txt,cuales
314,27034-8.txt,cambios
315,27034-8.txt,obtenidos
316,27034-8.txt,internet
317,27034-8.txt,actividad
318,27034-8.txt,internet
319,27034-8.txt,cambio
320,27034-8.txt,considerablemente
321,27034-8.txt,actividad
322,27034-8.txt,profesional
323,27034-8.txt,vida
324,27034-8.txt,personal
325,27034-8.txt,dado
326,27034-8.txt,flujo
327,27034-8.txt,constante
328,27034-8.txt,informaciones
329,27034-8.txt,duermo
330,27034-8.txt,menos
331,27034-8.txt,cambio
332,27034-8.txt,mas
