,Archivo,Palabra
0,41853-8.txt,salvador
1,41853-8.txt,brau
2,41853-8.txt,rafael
3,41853-8.txt,cordero
4,41853-8.txt,elogio
5,41853-8.txt,postumo
6,41853-8.txt,iniciara
7,41853-8.txt,ateneo
8,41853-8.txt,puertorriqueno
9,41853-8.txt,velada
10,41853-8.txt,octubre
11,41853-8.txt,puerto
12,41853-8.txt,rico
13,41853-8.txt,tipografia
14,41853-8.txt,arturo
15,41853-8.txt,cordova
16,41853-8.txt,memoria
17,41853-8.txt,acto
18,41853-8.txt,meritisimo
19,41853-8.txt,realizado
20,41853-8.txt,ilustres
21,41853-8.txt,republicos
22,41853-8.txt,d
23,41853-8.txt,segundo
24,41853-8.txt,ruiz
25,41853-8.txt,belvis
26,41853-8.txt,d
27,41853-8.txt,jose
28,41853-8.txt,julian
29,41853-8.txt,acosta
30,41853-8.txt,d
31,41853-8.txt,francisco
32,41853-8.txt,mariano
33,41853-8.txt,quinones
34,41853-8.txt,solicitar
35,41853-8.txt,metropoli
36,41853-8.txt,noviembre
37,41853-8.txt,reintegracion
38,41853-8.txt,raza
39,41853-8.txt,negra
40,41853-8.txt,humanos
41,41853-8.txt,derechos
42,41853-8.txt,consagro
43,41853-8.txt,siempreviva
44,41853-8.txt,perfumada
45,41853-8.txt,sublimes
46,41853-8.txt,virtudes
47,41853-8.txt,negro
48,41853-8.txt,humanitario
49,41853-8.txt,salvador
50,41853-8.txt,brau
51,41853-8.txt,puerto
52,41853-8.txt,rico
53,41853-8.txt,octubre
54,41853-8.txt,senores
55,41853-8.txt,vez
56,41853-8.txt,mas
57,41853-8.txt,congrega
58,41853-8.txt,recinto
59,41853-8.txt,consagrado
60,41853-8.txt,cultura
61,41853-8.txt,espiritu
62,41853-8.txt,sentimiento
63,41853-8.txt,gratitud
64,41853-8.txt,social
65,41853-8.txt,directiva
66,41853-8.txt,ateneo
67,41853-8.txt,querido
68,41853-8.txt,solemnizar
69,41853-8.txt,fiesta
70,41853-8.txt,literaria
71,41853-8.txt,instalacion
72,41853-8.txt,salones
73,41853-8.txt,retrato
74,41853-8.txt,compatriota
75,41853-8.txt,benemerito
76,41853-8.txt,virtuoso
77,41853-8.txt,rafael
78,41853-8.txt,cordero
79,41853-8.txt,legado
80,41853-8.txt,contemplacion
81,41853-8.txt,posteridad
82,41853-8.txt,pincel
83,41853-8.txt,puertorriqueno
84,41853-8.txt,distinguido
85,41853-8.txt,generoso
86,41853-8.txt,senor
87,41853-8.txt,don
88,41853-8.txt,francisco
89,41853-8.txt,oller
90,41853-8.txt,retrato
91,41853-8.txt,figurara
92,41853-8.txt,dignamente
93,41853-8.txt,hoy
94,41853-8.txt,galeria
95,41853-8.txt,ilustran
96,41853-8.txt,padre
97,41853-8.txt,rufo
98,41853-8.txt,campeche
99,41853-8.txt,tapia
100,41853-8.txt,gautier
101,41853-8.txt,benitez
102,41853-8.txt,corchado
103,41853-8.txt,tavarez
104,41853-8.txt,breve
105,41853-8.txt,ocupara
106,41853-8.txt,puesto
107,41853-8.txt,honor
108,41853-8.txt,venerable
109,41853-8.txt,acosta
110,41853-8.txt,grave
111,41853-8.txt,experimentado
112,41853-8.txt,maestro
113,41853-8.txt,cuya
114,41853-8.txt,ausencia
115,41853-8.txt,consolado
116,41853-8.txt,todavia
117,41853-8.txt,cuya
118,41853-8.txt,voz
119,41853-8.txt,muda
120,41853-8.txt,siempre
121,41853-8.txt,apreciarse
122,41853-8.txt,nota
123,41853-8.txt,deficiencia
124,41853-8.txt,acto
125,41853-8.txt,afortunado
126,41853-8.txt,iniciador
127,41853-8.txt,columnas
128,41853-8.txt,clamor
129,41853-8.txt,pais
130,41853-8.txt,proposito
131,41853-8.txt,hoy
132,41853-8.txt,traduce
133,41853-8.txt,hecho
134,41853-8.txt,consumado
135,41853-8.txt,mediante
136,41853-8.txt,popular
137,41853-8.txt,donativo
138,41853-8.txt,engrosaron
139,41853-8.txt,obolo
140,41853-8.txt,todas
141,41853-8.txt,clases
142,41853-8.txt,sociales
143,41853-8.txt,pais
144,41853-8.txt,compatriotas
145,41853-8.txt,residentes
146,41853-8.txt,metropoli
147,41853-8.txt,complazcome
148,41853-8.txt,dar
149,41853-8.txt,voz
150,41853-8.txt,agradecimiento
151,41853-8.txt,reconozco
152,41853-8.txt,deudor
153,41853-8.txt,tan
154,41853-8.txt,eficacisima
155,41853-8.txt,cooperacion
156,41853-8.txt,agradecimiento
157,41853-8.txt,comprende
158,41853-8.txt,respetables
159,41853-8.txt,senores
160,41853-8.txt,forman
161,41853-8.txt,directiva
162,41853-8.txt,ateneo
163,41853-8.txt,especial
164,41853-8.txt,presidente
165,41853-8.txt,querido
166,41853-8.txt,amigo
167,41853-8.txt,don
168,41853-8.txt,manuel
169,41853-8.txt,elzaburu
170,41853-8.txt,indiscutible
171,41853-8.txt,acogida
172,41853-8.txt,prestaron
173,41853-8.txt,proposito
174,41853-8.txt,apenas
175,41853-8.txt,enunciado
176,41853-8.txt,identificandose
177,41853-8.txt,absoluto
178,41853-8.txt,idea
179,41853-8.txt,identificado
180,41853-8.txt,actual
181,41853-8.txt,vicepresidente
182,41853-8.txt,senor
183,41853-8.txt,don
184,41853-8.txt,enrique
185,41853-8.txt,alvarez
186,41853-8.txt,perez
187,41853-8.txt,gustosisimo
188,41853-8.txt,patrocinador
189,41853-8.txt,solemnidad
190,41853-8.txt,fuerza
191,41853-8.txt,haga
192,41853-8.txt,extensivos
193,41853-8.txt,sentimientos
194,41853-8.txt,gratitud
195,41853-8.txt,prensa
196,41853-8.txt,periodica
197,41853-8.txt,prensa
198,41853-8.txt,cuyas
199,41853-8.txt,filas
200,41853-8.txt,honor
201,41853-8.txt,militar
202,41853-8.txt,cuyos
203,41853-8.txt,organos
204,41853-8.txt,distincion
205,41853-8.txt,escuela
206,41853-8.txt,contribuido
207,41853-8.txt,mover
208,41853-8.txt,entusiasmos
209,41853-8.txt,publicos
210,41853-8.txt,pro
211,41853-8.txt,ofrenda
212,41853-8.txt,virtud
213,41853-8.txt,modesta
214,41853-8.txt,merito
215,41853-8.txt,reconocido
216,41853-8.txt,consagramos
217,41853-8.txt,voluntad
218,41853-8.txt,sentimiento
219,41853-8.txt,varios
220,41853-8.txt,sino
221,41853-8.txt,sentimiento
222,41853-8.txt,voluntad
223,41853-8.txt,elementos
224,41853-8.txt,individuales
225,41853-8.txt,constituyen
226,41853-8.txt,sociedad
227,41853-8.txt,cuya
228,41853-8.txt,alteza
229,41853-8.txt,espiritual
230,41853-8.txt,cuya
231,41853-8.txt,fraternidad
232,41853-8.txt,culta
233,41853-8.txt,vivificadora
234,41853-8.txt,recibe
235,41853-8.txt,esplendida
236,41853-8.txt,sancion
237,41853-8.txt,instantes
238,41853-8.txt,trata
239,41853-8.txt,honrar
240,41853-8.txt,memoria
241,41853-8.txt,compatriota
242,41853-8.txt,favorecido
243,41853-8.txt,inspiracion
244,41853-8.txt,maravillosa
245,41853-8.txt,arte
246,41853-8.txt,decorado
247,41853-8.txt,atributos
248,41853-8.txt,nobilisimos
249,41853-8.txt,ciencia
250,41853-8.txt,cenido
251,41853-8.txt,laureles
252,41853-8.txt,popularidad
253,41853-8.txt,legitimamente
254,41853-8.txt,adquirida
255,41853-8.txt,defensa
256,41853-8.txt,civicos
257,41853-8.txt,derechos
258,41853-8.txt,trata
259,41853-8.txt,artesano
260,41853-8.txt,humildisimo
261,41853-8.txt,artesano
262,41853-8.txt,procedente
263,41853-8.txt,raza
264,41853-8.txt,laboriosa
265,41853-8.txt,privada
266,41853-8.txt,ayer
267,41853-8.txt,libertad
268,41853-8.txt,individual
269,41853-8.txt,errores
270,41853-8.txt,rectificado
271,41853-8.txt,accion
272,41853-8.txt,tiempos
273,41853-8.txt,trata
274,41853-8.txt,negro
275,41853-8.txt,tabaquero
276,41853-8.txt,negro
277,41853-8.txt,humilde
278,41853-8.txt,colocamos
279,41853-8.txt,materia
280,41853-8.txt,veneracion
281,41853-8.txt,publica
282,41853-8.txt,altura
283,41853-8.txt,doctor
284,41853-8.txt,don
285,41853-8.txt,rufo
286,41853-8.txt,manuel
287,41853-8.txt,fernandez
288,41853-8.txt,canonigo
289,41853-8.txt,gallego
290,41853-8.txt,solo
291,41853-8.txt,bendiciones
292,41853-8.txt,guarda
293,41853-8.txt,historia
294,41853-8.txt,regional
295,41853-8.txt,preciso
296,41853-8.txt,sera
297,41853-8.txt,reconocer
298,41853-8.txt,grandiosidad
299,41853-8.txt,meritos
300,41853-8.txt,venerado
301,41853-8.txt,reconociendo
302,41853-8.txt,vez
303,41853-8.txt,transformacion
304,41853-8.txt,radical
305,41853-8.txt,operada
306,41853-8.txt,ideas
307,41853-8.txt,sociales
308,41853-8.txt,impulsos
309,41853-8.txt,progreso
310,41853-8.txt,avasallador
311,41853-8.txt,entrana
312,41853-8.txt,reconocimiento
313,41853-8.txt,improbable
314,41853-8.txt,suposicion
315,41853-8.txt,veinte
316,41853-8.txt,tres
317,41853-8.txt,anos
318,41853-8.txt,miembro
319,41853-8.txt,sociedad
320,41853-8.txt,economica
321,41853-8.txt,amigos
322,41853-8.txt,paisdon
