,Archivo,Palabra
0,36558-8.txt,raton
1,36558-8.txt,perez
2,36558-8.txt,cuento
3,36558-8.txt,infantil
4,36558-8.txt,p
5,36558-8.txt,luis
6,36558-8.txt,coloma
7,36558-8.txt,s
8,36558-8.txt,j
9,36558-8.txt,real
10,36558-8.txt,academia
11,36558-8.txt,espanola
12,36558-8.txt,dibujos
13,36558-8.txt,m
14,36558-8.txt,pedrero
15,36558-8.txt,imagen
16,36558-8.txt,madrid
17,36558-8.txt,administracion
18,36558-8.txt,razon
19,36558-8.txt,fe
20,36558-8.txt,plaza
21,36558-8.txt,santo
22,36558-8.txt,domingo
23,36558-8.txt,bajo
24,36558-8.txt,imagen
25,36558-8.txt,madridest
26,36558-8.txt,tip
27,36558-8.txt,sucesores
28,36558-8.txt,rivadeneyra
29,36558-8.txt,imagen
30,36558-8.txt,alteza
31,36558-8.txt,real
32,36558-8.txt,serenisimo
33,36558-8.txt,senor
34,36558-8.txt,principe
35,36558-8.txt,asturias
36,36558-8.txt,don
37,36558-8.txt,alfonso
38,36558-8.txt,borbon
39,36558-8.txt,battenberg
40,36558-8.txt,senor
41,36558-8.txt,hace
42,36558-8.txt,cerca
43,36558-8.txt,veinte
44,36558-8.txt,anos
45,36558-8.txt,escribi
46,36558-8.txt,paginas
47,36558-8.txt,s
48,36558-8.txt,m
49,36558-8.txt,rey
50,36558-8.txt,d
51,36558-8.txt,alfonso
52,36558-8.txt,xiii
53,36558-8.txt,augusto
54,36558-8.txt,padre
55,36558-8.txt,permitidme
56,36558-8.txt,senor
57,36558-8.txt,reimprimirlas
58,36558-8.txt,hoy
59,36558-8.txt,dedique
60,36558-8.txt,v
61,36558-8.txt,deseoso
62,36558-8.txt,arraigue
63,36558-8.txt,alma
64,36558-8.txt,tan
65,36558-8.txt,honda
66,36558-8.txt,fructuosamente
67,36558-8.txt,arraigo
68,36558-8.txt,padre
69,36558-8.txt,sencilla
70,36558-8.txt,sublime
71,36558-8.txt,idea
72,36558-8.txt,verdadera
73,36558-8.txt,fraternidad
74,36558-8.txt,humana
75,36558-8.txt,dios
76,36558-8.txt,bendiga
77,36558-8.txt,v
78,36558-8.txt,corazon
79,36558-8.txt,pide
80,36558-8.txt,diariamente
81,36558-8.txt,affmo
82,36558-8.txt,cristo
83,36558-8.txt,luis
84,36558-8.txt,coloma
85,36558-8.txt,s
86,36558-8.txt,j
87,36558-8.txt,imagen
88,36558-8.txt,sembrad
89,36558-8.txt,ninos
90,36558-8.txt,idea
91,36558-8.txt,aunque
92,36558-8.txt,entiendan
93,36558-8.txt,anos
94,36558-8.txt,encargaran
95,36558-8.txt,descifrarla
96,36558-8.txt,entendimiento
97,36558-8.txt,hacerla
98,36558-8.txt,florecer
99,36558-8.txt,corazon
100,36558-8.txt,muerte
101,36558-8.txt,rey
