,Archivo,Palabra
0,19106-8.txt,reconocimiento
1,19106-8.txt,fuerte
2,19106-8.txt,carmen
3,19106-8.txt,rio
4,19106-8.txt,negro
5,19106-8.txt,puntos
6,19106-8.txt,adyacentes
7,19106-8.txt,costa
8,19106-8.txt,patagonica
9,19106-8.txt,coronel
10,19106-8.txt,d
11,19106-8.txt,ambrosio
12,19106-8.txt,cramer
13,19106-8.txt,reconocimiento
14,19106-8.txt,rio
15,19106-8.txt,negro
16,19106-8.txt,buenosaires
17,19106-8.txt,abril
18,19106-8.txt,exmo
19,19106-8.txt,senor
20,19106-8.txt,conforme
21,19106-8.txt,ordenes
22,19106-8.txt,v
23,19106-8.txt,embarque
24,19106-8.txt,dia
25,19106-8.txt,octubre
26,19106-8.txt,ano
27,19106-8.txt,proximo
28,19106-8.txt,pasado
29,19106-8.txt,bordo
30,19106-8.txt,bergantin
31,19106-8.txt,exeter
32,19106-8.txt,pasar
33,19106-8.txt,rio
34,19106-8.txt,negro
35,19106-8.txt,fin
36,19106-8.txt,reconocer
37,19106-8.txt,varios
38,19106-8.txt,puntos
39,19106-8.txt,costa
40,19106-8.txt,patagonica
41,19106-8.txt,dia
42,19106-8.txt,noviembre
43,19106-8.txt,fondeamos
44,19106-8.txt,frente
45,19106-8.txt,establecimiento
46,19106-8.txt,primera
47,19106-8.txt,operacion
48,19106-8.txt,levantar
49,19106-8.txt,plan
50,19106-8.txt,circunstanciado
51,19106-8.txt,poblacion
52,19106-8.txt,contornos
53,19106-8.txt,fuerte
54,19106-8.txt,edificado
55,19106-8.txt,encima
56,19106-8.txt,loma
57,19106-8.txt,bajada
58,19106-8.txt,hacia
59,19106-8.txt,rio
60,19106-8.txt,barrancas
61,19106-8.txt,ciertas
62,19106-8.txt,partes
63,19106-8.txt,piso
64,19106-8.txt,arena
65,19106-8.txt,suelta
66,19106-8.txt,viento
67,19106-8.txt,amontona
68,19106-8.txt,todas
69,19106-8.txt,direcciones
70,19106-8.txt,primeros
71,19106-8.txt,pobladores
72,19106-8.txt,vivieron
73,19106-8.txt,cuevas
74,19106-8.txt,cavadas
75,19106-8.txt,barranca
76,19106-8.txt,edificando
77,19106-8.txt,casas
78,19106-8.txt,generalmente
79,19106-8.txt,dispuestas
80,19106-8.txt,orden
81,19106-8.txt,todas
82,19106-8.txt,chicas
83,19106-8.txt,poca
84,19106-8.txt,comodidad
85,19106-8.txt,sanas
86,19106-8.txt,paredes
87,19106-8.txt,adobe
88,19106-8.txt,techos
89,19106-8.txt,teja
90,19106-8.txt,nueva
91,19106-8.txt,poblacion
92,19106-8.txt,cuadro
93,19106-8.txt,casas
94,19106-8.txt,iguales
95,19106-8.txt,edificadas
96,19106-8.txt,dos
97,19106-8.txt,cuadras
98,19106-8.txt,media
99,19106-8.txt,fuerte
100,19106-8.txt,tres
101,19106-8.txt,costados
102,19106-8.txt,mas
103,19106-8.txt,acabaron
104,19106-8.txt,lado
105,19106-8.txt,s
106,19106-8.txt,quedaba
107,19106-8.txt,construir
108,19106-8.txt,cabildo
109,19106-8.txt,nunca
110,19106-8.txt,hizo
111,19106-8.txt,vientos
112,19106-8.txt,mas
113,19106-8.txt,violentos
114,19106-8.txt,reinan
115,19106-8.txt,parte
116,19106-8.txt,arenas
117,19106-8.txt,ido
118,19106-8.txt,amontonando
119,19106-8.txt,medio
120,19106-8.txt,cuadro
121,19106-8.txt,modo
122,19106-8.txt,casas
123,19106-8.txt,lado
124,19106-8.txt,opuesto
125,19106-8.txt,estan
126,19106-8.txt,tapadas
127,19106-8.txt,pocos
128,19106-8.txt,vecinos
129,19106-8.txt,viven
130,19106-8.txt,nueva
131,19106-8.txt,poblacion
132,19106-8.txt,mayor
133,19106-8.txt,parte
134,19106-8.txt,casas
135,19106-8.txt,estan
136,19106-8.txt,abandonadas
137,19106-8.txt,arruinadas
138,19106-8.txt,fuerte
139,19106-8.txt,cuadro
140,19106-8.txt,imperfecto
141,19106-8.txt,tres
142,19106-8.txt,pequenos
143,19106-8.txt,bastiones
144,19106-8.txt,solamente
145,19106-8.txt,lado
146,19106-8.txt,acabar
147,19106-8.txt,toda
148,19106-8.txt,defensa
149,19106-8.txt,consiste
150,19106-8.txt,pared
151,19106-8.txt,tres
152,19106-8.txt,media
153,19106-8.txt,varas
154,19106-8.txt,alto
155,19106-8.txt,cerca
156,19106-8.txt,vara
157,19106-8.txt,media
158,19106-8.txt,ancho
159,19106-8.txt,construida
160,19106-8.txt,adobes
161,19106-8.txt,partes
162,19106-8.txt,tosca
163,19106-8.txt,toda
164,19106-8.txt,fortificacion
165,19106-8.txt,generalmente
166,19106-8.txt,mal
167,19106-8.txt,sufre
168,19106-8.txt,reparacion
169,19106-8.txt,haciendo
170,19106-8.txt,actualmente
171,19106-8.txt,comandante
172,19106-8.txt,aquel
173,19106-8.txt,punto
174,19106-8.txt,reforzar
175,19106-8.txt,pared
176,19106-8.txt,parte
177,19106-8.txt,adentro
178,19106-8.txt,banqueta
179,19106-8.txt,tres
180,19106-8.txt,pies
181,19106-8.txt,alto
182,19106-8.txt,tres
183,19106-8.txt,ancho
184,19106-8.txt,cualquiera
185,19106-8.txt,reparacion
186,19106-8.txt,seria
187,19106-8.txt,inutil
188,19106-8.txt,pues
189,19106-8.txt,obras
190,19106-8.txt,existen
191,19106-8.txt,capaces
192,19106-8.txt,sostener
193,19106-8.txt,nuevos
194,19106-8.txt,materiales
195,19106-8.txt,poblacion
196,19106-8.txt,dicha
197,19106-8.txt,s
198,19106-8.txt,compone
199,19106-8.txt,docena
200,19106-8.txt,casas
201,19106-8.txt,situadas
202,19106-8.txt,lado
203,19106-8.txt,rio
204,19106-8.txt,precisamente
205,19106-8.txt,s
206,19106-8.txt,primera
207,19106-8.txt,parece
208,19106-8.txt,sitio
209,19106-8.txt,habia
210,19106-8.txt,elegido
211,19106-8.txt,formar
212,19106-8.txt,establecimiento
213,19106-8.txt,llegaron
214,19106-8.txt,primeras
215,19106-8.txt,familias
216,19106-8.txt,espantadas
217,19106-8.txt,mareas
218,19106-8.txt,vivas
219,19106-8.txt,veces
220,19106-8.txt,alcanzan
221,19106-8.txt,cubrir
222,19106-8.txt,toda
223,19106-8.txt,superficie
224,19106-8.txt,aquel
225,19106-8.txt,terreno
226,19106-8.txt,pasaron
227,19106-8.txt,n
228,19106-8.txt,fijaron
229,19106-8.txt,loma
230,19106-8.txt,fuerte
231,19106-8.txt,pocos
232,19106-8.txt,quedaron
233,19106-8.txt,estan
234,19106-8.txt,expuestos
235,19106-8.txt,anualmente
236,19106-8.txt,dos
237,19106-8.txt,tres
238,19106-8.txt,inundaciones
239,19106-8.txt,entonces
240,19106-8.txt,refugiarse
241,19106-8.txt,casas
242,19106-8.txt,mas
243,19106-8.txt,elevadas
244,19106-8.txt,botes
245,19106-8.txt,fin
246,19106-8.txt,puede
247,19106-8.txt,decir
248,19106-8.txt,posicion
249,19106-8.txt,poblacion
250,19106-8.txt,bastante
251,19106-8.txt,mala
252,19106-8.txt,reconocimiento
253,19106-8.txt,despues
254,19106-8.txt,hice
255,19106-8.txt,rio
256,19106-8.txt,ocasion
257,19106-8.txt,ver
258,19106-8.txt,parages
259,19106-8.txt,mas
260,19106-8.txt,proposito
261,19106-8.txt,formar
262,19106-8.txt,establecimiento
263,19106-8.txt,boca
264,19106-8.txt,rio
265,19106-8.txt,negro
266,19106-8.txt,san
267,19106-8.txt,javier
268,19106-8.txt,ser
269,19106-8.txt,desconocida
270,19106-8.txt,barra
271,19106-8.txt,ofrece
272,19106-8.txt,dificultades
273,19106-8.txt,desaparecerian
274,19106-8.txt,buenos
275,19106-8.txt,practicos
276,19106-8.txt,proveyendo
277,19106-8.txt,boca
278,19106-8.txt,necesario
279,19106-8.txt,socorro
280,19106-8.txt,barcos
281,19106-8.txt,presentasen
282,19106-8.txt,entrar
283,19106-8.txt,varias
284,19106-8.txt,canales
285,19106-8.txt,pagar
286,19106-8.txt,barra
287,19106-8.txt,mas
288,19106-8.txt,conocidas
289,19106-8.txt,s
290,19106-8.txt,medio
291,19106-8.txt,n
292,19106-8.txt,canal
293,19106-8.txt,s
294,19106-8.txt,mas
295,19106-8.txt,facil
296,19106-8.txt,poca
297,19106-8.txt,agua
298,19106-8.txt,buques
299,19106-8.txt,calen
300,19106-8.txt,mas
301,19106-8.txt,ocho
302,19106-8.txt,nueve
303,19106-8.txt,pies
304,19106-8.txt,deben
305,19106-8.txt,seguirla
306,19106-8.txt,canal
307,19106-8.txt,medio
308,19106-8.txt,dos
309,19106-8.txt,brazas
310,19106-8.txt,agua
311,19106-8.txt,pleamar
312,19106-8.txt,vientos
313,19106-8.txt,reinan
314,19106-8.txt,parte
315,19106-8.txt,s
316,19106-8.txt,mareas
317,19106-8.txt,vivas
318,19106-8.txt,suelen
319,19106-8.txt,encontrar
320,19106-8.txt,cerca
321,19106-8.txt,tres
322,19106-8.txt,brazas
323,19106-8.txt,canal
324,19106-8.txt,estrecha
325,19106-8.txt,hace
326,19106-8.txt,salida
327,19106-8.txt,mas
328,19106-8.txt,facil
329,19106-8.txt,entrada
330,19106-8.txt,afuera
331,19106-8.txt,descubre
332,19106-8.txt,punto
333,19106-8.txt,deben
334,19106-8.txt,dirigirse
335,19106-8.txt,buques
336,19106-8.txt,canal
337,19106-8.txt,mas
338,19106-8.txt,segura
339,19106-8.txt,mas
340,19106-8.txt,ancha
341,19106-8.txt,mareas
342,19106-8.txt,vivas
343,19106-8.txt,encuentran
344,19106-8.txt,mas
345,19106-8.txt,tres
346,19106-8.txt,brazas
347,19106-8.txt,agua
348,19106-8.txt,si
349,19106-8.txt,pudieran
350,19106-8.txt,establecer
351,19106-8.txt,dos
352,19106-8.txt,tres
353,19106-8.txt,boyas
354,19106-8.txt,canal
355,19106-8.txt,navegacion
356,19106-8.txt,rio
357,19106-8.txt,negro
358,19106-8.txt,presentaria
359,19106-8.txt,menos
360,19106-8.txt,dificultades
361,19106-8.txt,canal
362,19106-8.txt,n
363,19106-8.txt,frecuentada
364,19106-8.txt,hace
365,19106-8.txt,cuatro
366,19106-8.txt,cinco
367,19106-8.txt,anos
368,19106-8.txt,tiempo
369,19106-8.txt,ido
370,19106-8.txt,estrechando
371,19106-8.txt,medio
372,19106-8.txt,formado
373,19106-8.txt,pequeno
374,19106-8.txt,banco
375,19106-8.txt,hace
376,19106-8.txt,dificil
377,19106-8.txt,acceso
378,19106-8.txt,mas
379,19106-8.txt,corrientes
380,19106-8.txt,llevan
381,19106-8.txt,fuerza
382,19106-8.txt,hacia
383,19106-8.txt,costa
384,19106-8.txt,modo
385,19106-8.txt,canal
386,19106-8.txt,puede
387,19106-8.txt,seguir
388,19106-8.txt,sino
389,19106-8.txt,embarcaciones
390,19106-8.txt,menores
391,19106-8.txt,rio
392,19106-8.txt,navegable
393,19106-8.txt,tiempos
394,19106-8.txt,poblacion
395,19106-8.txt,mas
396,19106-8.txt,arriba
397,19106-8.txt,ofrece
398,19106-8.txt,dificultades
399,19106-8.txt,principalmente
400,19106-8.txt,avenidas
401,19106-8.txt,aguas
402,19106-8.txt,empiezan
403,19106-8.txt,disminuirse
404,19106-8.txt,costa
405,19106-8.txt,s
406,19106-8.txt,generalmente
407,19106-8.txt,baja
408,19106-8.txt,n
409,19106-8.txt,contrario
410,19106-8.txt,bordada
411,19106-8.txt,lomas
